,id,timestamp,layer_type,method,local_port,remote_port,req_cf_ray,req_content_length,resp_content_length,resp_vary,status_code,target
142,gpVdNYMa,08/Jun/2025:07:48:52 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca136ac64027-SIN,131.0,33,Origin,200,BENIGN
143,BYE6Pd1Z,08/Jun/2025:07:48:53 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca178f204027-SIN,131.0,33,Origin,200,BENIGN
144,UeqdasE6,08/Jun/2025:07:48:53 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca1cbd164027-SIN,131.0,33,Origin,200,BENIGN
145,PsqrHAny,08/Jun/2025:07:48:54 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca214ac04027-SIN,131.0,33,Origin,200,BENIGN
146,0IbLoywx,08/Jun/2025:07:48:55 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca25afdd4027-SIN,131.0,33,Origin,200,BENIGN
147,UA3ul2RG,08/Jun/2025:07:48:56 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca29ec614027-SIN,131.0,33,Origin,200,BENIGN
148,gIrGA6KX,08/Jun/2025:07:48:56 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca2e8ad64027-SIN,131.0,33,Origin,200,BENIGN
149,yAMFJ9BJ,08/Jun/2025:07:48:57 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca336f8e4027-SIN,131.0,33,Origin,200,BENIGN
150,PneBjY8D,08/Jun/2025:07:48:58 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca37ca944027-SIN,131.0,33,Origin,200,BENIGN
151,h95QCXes,08/Jun/2025:07:48:58 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca3c2ea04027-SIN,131.0,33,Origin,200,BENIGN
152,nW7xcRSY,08/Jun/2025:07:48:59 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca40a9ec4027-SIN,131.0,33,Origin,200,BENIGN
153,apltwxAM,08/Jun/2025:07:49:00 +0000,,POST,1234,38842,94c6ca4278169cbc-SIN,91.0,62,Origin,401,ssrf
154,imXRLgc0,08/Jun/2025:07:49:00 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca453fc74027-SIN,131.0,33,Origin,200,BENIGN
155,pgQzB5sy,08/Jun/2025:07:49:00 +0000,,POST,1234,38842,94c6ca451a4ace1e-SIN,93.0,62,Origin,401,ssrf
156,bztBQLjy,08/Jun/2025:07:49:01 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca49dd4b4027-SIN,131.0,33,Origin,200,BENIGN
157,8Sr5P1R7,08/Jun/2025:07:49:01 +0000,SINGLE_LAYERED,POST,1234,38842,94c6ca4e3ace4027-SIN,131.0,33,Origin,200,BENIGN
